Begin Time - hh:mm:ss.ms	End Time - hh:mm:ss.ms	Duration - hh:mm:ss.ms	svara	motifs	phrases
00:03:24.184	00:03:24.653	00:00:00.469	sa		
00:03:24.653	00:03:25.755	00:00:01.102	ri		
00:03:26.121	00:03:27.532	00:00:01.411		ni ri sa	
00:03:26.124	00:03:26.568	00:00:00.444	ni		
00:03:26.124	00:03:31.055	00:00:04.931			ni ri sa ni dha pa ma
00:03:26.575	00:03:27.051	00:00:00.476	ri		
00:03:27.059	00:03:27.526	00:00:00.467	sa		
00:03:27.526	00:03:28.010	00:00:00.484	ni		
00:03:28.010	00:03:28.638	00:00:00.628	dha		
00:03:28.638	00:03:29.086	00:00:00.448	pa		
00:03:29.086	00:03:31.055	00:00:01.969	ma		
00:03:31.638	00:03:32.350	00:00:00.712	pa		
00:03:32.350	00:03:33.124	00:00:00.774	dha		
00:03:33.479	00:03:34.216	00:00:00.737	ni		
00:03:34.410	00:03:35.479	00:00:01.069	 sa		
00:03:35.486	00:03:35.873	00:00:00.387	ri		
00:03:35.873	00:03:36.428	00:00:00.555	ri		
00:03:35.877	00:03:37.926	00:00:02.049		ri sa ni	
00:03:36.429	00:03:37.142	00:00:00.713	sa		
00:03:37.142	00:03:37.926	00:00:00.784	ni		
00:03:38.339	00:03:38.907	00:00:00.568	ni		
00:03:38.342	00:03:41.424	00:00:03.082		ni dha	
00:03:38.918	00:03:41.420	00:00:02.502	dha		
00:03:41.490	00:03:42.922	00:00:01.432	ma		
00:03:41.490	00:03:44.502	00:00:03.012		ma pa	
00:03:42.933	00:03:44.502	00:00:01.569	pa		
00:03:45.017	00:03:45.958	00:00:00.941	dha		
00:03:45.017	00:03:48.534	00:00:03.517		dha ni sa	
00:03:45.958	00:03:46.523	00:00:00.565	ni		
00:03:46.523	00:03:48.534	00:00:02.011	sa		
00:03:49.500	00:03:50.314	00:00:00.814	ri		
00:03:49.504	00:03:53.015	00:00:03.511			ri ga ri ga sa
00:03:50.314	00:03:50.807	00:00:00.493	ga		
00:03:50.807	00:03:51.253	00:00:00.446	ri		
00:03:51.253	00:03:51.818	00:00:00.565	ga		
00:03:51.818	00:03:53.009	00:00:01.191	sa		
00:03:53.399	00:03:53.753	00:00:00.354	ni		
00:03:53.406	00:03:54.709	00:00:01.303		ni ga ri	
00:03:53.753	00:03:54.331	00:00:00.578	ga		
00:03:54.331	00:03:54.699	00:00:00.368	ri		
00:03:54.699	00:03:55.159	00:00:00.460	sa		
00:03:55.159	00:03:56.072	00:00:00.913	ri		
00:03:56.603	00:03:57.108	00:00:00.505	ni		
00:03:56.607	00:03:58.096	00:00:01.489		ni ri sa	
00:03:57.108	00:03:57.581	00:00:00.473	ri		
00:03:57.581	00:03:58.094	00:00:00.513	sa		
00:03:58.094	00:03:58.619	00:00:00.525	ni		
00:03:58.627	00:03:59.473	00:00:00.846	dha		
00:04:00.001	00:04:01.518	00:00:01.517	ni		
00:04:00.006	00:04:03.021	00:00:03.015		ni ga ri	
00:04:01.518	00:04:02.579	00:00:01.061	ga		
00:04:02.590	00:04:03.015	00:00:00.425	ri		
00:04:03.101	00:04:03.553	00:00:00.452	ri		
00:04:03.102	00:04:05.420	00:00:02.318		ri sa ni	
00:04:03.553	00:04:04.338	00:00:00.785	sa		
00:04:04.365	00:04:05.422	00:00:01.057	ni		
00:04:05.422	00:04:05.870	00:00:00.448	ni		
00:04:05.422	00:04:08.498	00:00:03.076		ni dha	
00:04:05.881	00:04:08.498	00:00:02.617	dha		
00:04:08.756	00:04:09.996	00:00:01.240	ma		
00:04:08.756	00:04:11.802	00:00:03.046		ma pa	
00:04:09.996	00:04:11.802	00:00:01.806	pa		
00:04:11.996	00:04:12.918	00:00:00.922	dha		
00:04:11.996	00:04:15.703	00:00:03.707		dha ni sa	
00:04:12.933	00:04:13.733	00:00:00.800	ni		
00:04:13.733	00:04:15.703	00:00:01.970	sa		
00:04:16.441	00:04:17.446	00:00:01.005	ri		
00:04:16.442	00:04:20.213	00:00:03.771			ri ga ri ga sa
00:04:17.446	00:04:17.866	00:00:00.420	ga		
00:04:17.866	00:04:18.306	00:00:00.440	ri		
00:04:18.306	00:04:18.799	00:00:00.493	ga		
00:04:18.799	00:04:20.211	00:00:01.412	sa		
00:04:20.211	00:04:20.725	00:00:00.514	ni		
00:04:20.212	00:04:21.744	00:00:01.532		ni ga ri	
00:04:20.725	00:04:21.395	00:00:00.670	ga		
00:04:21.395	00:04:21.744	00:00:00.349	ri		
00:04:21.744	00:04:22.223	00:00:00.479	sa		
00:04:22.223	00:04:23.156	00:00:00.933	ri		
00:04:23.616	00:04:24.139	00:00:00.523	ni		
00:04:23.622	00:04:25.103	00:00:01.481		ni ri sa	
00:04:24.139	00:04:24.645	00:00:00.506	ri		
00:04:24.645	00:04:25.098	00:00:00.453	sa		
00:04:25.098	00:04:25.612	00:00:00.514	ni		
00:04:25.631	00:04:26.450	00:00:00.819	dha		
00:04:27.026	00:04:28.464	00:00:01.438	ni		
00:04:27.033	00:04:30.025	00:00:02.992		ni ga ri	
00:04:28.464	00:04:29.686	00:00:01.222	ga		
00:04:29.686	00:04:30.030	00:00:00.344	ri		
00:04:30.030	00:04:30.472	00:00:00.442	ri		
00:04:30.033	00:04:32.335	00:00:02.302		ri sa ni	
00:04:30.479	00:04:31.435	00:00:00.956	sa		
00:04:31.442	00:04:32.334	00:00:00.892	ni		
00:04:32.387	00:04:32.977	00:00:00.590	ni		
00:04:32.387	00:04:34.619	00:00:02.232		ni dha	
00:04:32.977	00:04:34.619	00:00:01.642	dha		
00:04:35.860	00:04:36.952	00:00:01.092	ma		
00:04:35.860	00:04:38.952	00:00:03.092		ma pa	
00:04:36.959	00:04:38.952	00:00:01.993	pa		
00:04:39.136	00:04:40.069	00:00:00.933	dha		
00:04:39.136	00:04:42.217	00:00:03.081		dha ni sa	
00:04:40.069	00:04:40.767	00:00:00.698	ni		
00:04:40.774	00:04:42.217	00:00:01.443	sa		
00:04:43.436	00:04:45.692	00:00:02.256		ga ma ga ri	
00:04:43.437	00:04:44.363	00:00:00.926	ga		
00:04:44.363	00:04:44.893	00:00:00.530	ma		
00:04:44.893	00:04:45.380	00:00:00.487	ga		
00:04:45.391	00:04:45.683	00:00:00.292	ri		
00:04:46.005	00:04:46.399	00:00:00.394	sa		
00:04:46.399	00:04:46.848	00:00:00.449	ri		
00:04:46.856	00:04:47.623	00:00:00.767	ni		
00:04:47.633	00:04:47.968	00:00:00.335	sa		
00:04:48.247	00:04:48.652	00:00:00.405	ni		
00:04:48.667	00:04:49.171	00:00:00.504	sa		
00:04:49.184	00:04:49.693	00:00:00.509	ri		
00:04:49.693	00:04:50.218	00:00:00.525	ga		
00:04:50.218	00:04:51.115	00:00:00.897	ma		
00:04:51.154	00:04:51.651	00:00:00.497	pa		
00:04:51.651	00:04:52.150	00:00:00.499	ga		
00:04:52.150	00:04:52.452	00:00:00.302	ri		
00:04:52.583	00:04:53.145	00:00:00.562	ga		
00:04:52.592	00:04:54.579	00:00:01.987		ga ma pa	
00:04:53.145	00:04:53.608	00:00:00.463	ma 		
00:04:53.623	00:04:54.571	00:00:00.948	pa		
00:04:54.579	00:04:55.049	00:00:00.470	dha		
00:04:55.049	00:04:55.512	00:00:00.463	ma		
00:04:55.512	00:04:56.002	00:00:00.490	ga		
00:04:56.002	00:04:56.386	00:00:00.384	ri		
00:04:56.386	00:04:56.704	00:00:00.318	sa		
00:04:56.940	00:04:57.918	00:00:00.978	ga		
00:04:57.918	00:04:58.405	00:00:00.487	ma		
00:04:58.405	00:04:58.894	00:00:00.489	ga		
00:04:58.894	00:04:59.206	00:00:00.312	ri		
00:04:59.361	00:04:59.836	00:00:00.475	sa		
00:04:59.836	00:05:00.437	00:00:00.601	ri		
00:05:00.437	00:05:01.335	00:00:00.898	ni		
